"region"	"Persons 2022 0-5 years"	"Persons 2022 6-15 years"	"Persons 2022 16-19 years"	"Persons 2022 20-24 years"	"Persons 2022 25-29 years"	"Persons 2022 30-49 years"	"Persons 2022 50-59 years"	"Persons 2022 60-66 years"	"Persons 2022 67-69 years"	"Persons 2022 70-79 years"	"Persons 2022 80 years or older"
"03012305 Grünerløkka rode 5"	46	30	25	154	244	425	75	19	7	16	0
"03012306 Grünerløkka rode 6"	52	59	15	198	271	436	97	37	14	31	6
"03012307 Grünerløkka rode 7"	22	13	7	107	263	324	53	18	15	12	6
"03012308 Grünerløkka rode 8"	77	70	29	125	232	477	88	33	16	22	8
"03012309 Grünerløkka rode 9"	25	21	12	114	178	317	65	22	10	18	3
"03012310 Grünerløkka rode 10"	43	23	15	113	205	380	98	32	8	11	7
"03012311 Grünerløkka rode 11"	38	59	31	102	153	285	77	35	16	22	10
"03012312 Grünerløkka rode 12"	46	86	25	137	241	483	120	25	6	11	7
"03012313 Grünerløkka rode 13"	34	36	19	176	217	393	81	13	7	18	3
"03012401 Tøyen rode 1"	152	156	42	150	374	923	152	60	18	43	10
"03012402 Tøyen rode 2"	45	46	11	129	225	447	103	39	17	14	3
"03012403 Tøyen rode 3"	34	24	10	14	93	244	25	7	7	12	0
"03012404 Tøyen rode 4"	36	33	18	159	288	551	88	39	17	32	11
"03012405 Tøyen rode 5"	41	42	11	46	205	461	78	39	14	33	15
"03012406 Tøyen rode 6"	124	80	22	88	267	842	174	81	35	76	27
"03012407 Tøyen rode 7"	0	0	0	0	0	0	0	0	0	0	0
"03012408 Tøyen rode 8"	84	71	26	79	234	591	100	29	18	18	12
"03012409 Tøyen rode 9"	41	84	25	18	103	350	82	31	9	25	12
"03012410 Tøyen rode 10"	0	4	3	0	0	13	0	3	0	0	0
"03012501 Grønland rode 1"	0	0	0	0	0	0	0	0	0	0	0
"03012502 Grønland rode 2"	34	33	26	54	154	348	98	65	17	45	23
"03012503 Grønland rode 3"	111	156	63	107	201	623	163	71	19	40	15
"03012504 Grønland rode 4"	90	114	26	90	170	523	127	64	22	37	16
"03012505 Grønland rode 5"	33	40	22	47	62	252	75	26	8	21	11
"03012506 Grønland rode 6"	106	104	24	76	159	658	186	83	38	69	24
"03012507 Grønland rode 7"	43	35	8	114	200	354	76	30	8	17	4
"03012508 Grønland rode 8"	99	97	38	74	190	486	101	75	27	54	17
"03012509 Grønland rode 9"	80	72	35	163	374	788	136	58	19	31	3
"03012601 Kampen rode 1"	74	75	20	116	270	587	102	43	10	31	7
"03012602 Kampen rode 2"	75	157	46	69	147	414	96	42	19	47	23
"03012603 Kampen rode 3"	46	57	20	33	107	318	79	57	19	74	71
"03012604 Kampen rode 4"	44	37	12	77	161	462	56	20	3	25	6
"03012605 Kampen rode 5"	119	151	82	116	227	629	174	80	13	41	5
"03012606 Kampen rode 6"	46	73	13	45	140	382	90	42	14	23	9
"03012607 Kampen rode 7"	76	164	51	61	141	535	165	65	32	66	21
"03012608 Kampen rode 8"	70	81	21	27	64	329	74	38	22	44	10
"03012609 Kampen rode 9"	36	64	15	28	74	303	73	29	13	26	6
"03012610 Kampen rode 10"	14	8	0	14	61	172	36	21	13	15	7
"03012701 Vålerenga rode 1"	30	40	15	19	69	252	90	45	7	17	7
"03012702 Vålerenga rode 2"	70	83	25	58	180	584	145	71	17	38	8
